UoM_Wireless1,UoM_Wireless6,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11
-73,-100,-100,-73,-100,-100,-41,-82,-100
-71,-89,-100,-71,-100,-100,-64,-100,-100
-67,-100,-100,-70,-100,-100,-65,-100,-100
-69,-90,-100,-70,-91,-100,-100,-87,-100
-75,-90,-100,-73,-93,-100,-70,-85,-100
-73,-92,-100,-73,-91,-100,-100,-100,-100
-75,-88,-100,-73,-89,-100,-48,-100,-100
-73,-92,-100,-74,-100,-100,-100,-85,-100
-75,-88,-100,-73,-87,-100,-63,-88,-100
-75,-92,-100,-75,-91,-100,-69,-89,-100
-100,-87,-100,-81,-84,-100,-62,-85,-100
-71,-90,-100,-71,-90,-100,-100,-84,-100
-74,-88,-100,-74,-92,-100,-100,-84,-100
-74,-91,-100,-76,-87,-100,-56,-100,-100
-71,-87,-100,-73,-91,-100,-64,-87,-100
-76,-88,-100,-75,-87,-100,-73,-100,-100
-74,-90,-100,-73,-90,-100,-39,-100,-100
-72,-89,-100,-72,-89,-100,-66,-100,-100
-74,-91,-100,-73,-90,-100,-64,-100,-100
-72,-90,-100,-73,-91,-100,-63,-100,-100
-72,-100,-100,-71,-100,-100,-62,-84,-100
-73,-89,-100,-74,-91,-100,-65,-83,-100
-72,-88,-100,-72,-90,-100,-49,-100,-100
-71,-91,-100,-71,-92,-100,-42,-100,-100
-73,-93,-100,-73,-92,-100,-71,-100,-100
-73,-91,-100,-73,-91,-100,-100,-100,-100
-73,-93,-100,-75,-98,-100,-51,-100,-100
-73,-91,-100,-74,-89,-100,-61,-100,-100
-77,-91,-100,-77,-89,-100,-43,-100,-100
-77,-95,-100,-76,-92,-100,-100,-87,-100
-78,-93,-100,-77,-90,-100,-66,-90,-100
-75,-93,-100,-76,-100,-100,-63,-83,-100
-74,-95,-100,-73,-91,-100,-100,-100,-100
-75,-100,-100,-73,-100,-100,-61,-85,-100
-73,-93,-100,-74,-100,-100,-100,-100,-100
-70,-91,-100,-71,-90,-100,-61,-84,-100
-72,-91,-100,-71,-91,-100,-65,-100,-100
-75,-93,-100,-75,-95,-100,-42,-100,-100
-71,-91,-100,-70,-91,-100,-64,-100,-100
-75,-91,-100,-75,-100,-100,-100,-100,-100
-77,-93,-100,-79,-88,-100,-51,-100,-100
-81,-88,-100,-82,-90,-100,-61,-87,-100
-73,-90,-100,-75,-88,-100,-100,-100,-100
-75,-91,-100,-74,-94,-100,-100,-100,-100
-83,-91,-100,-82,-90,-100,-43,-81,-100
-68,-100,-100,-70,-100,-100,-52,-85,-100
-73,-92,-100,-72,-93,-100,-60,-82,-100
-69,-91,-100,-70,-87,-100,-53,-81,-100
-74,-92,-100,-76,-95,-94,-40,-82,-100
-66,-90,-100,-66,-94,-100,-42,-83,-100
-68,-91,-100,-68,-89,-100,-49,-100,-100
-66,-89,-100,-67,-87,-100,-51,-100,-100
-76,-89,-100,-77,-91,-100,-42,-83,-100
-72,-92,-100,-74,-91,-100,-56,-100,-100
-72,-88,-100,-73,-91,-100,-49,-100,-100
-75,-91,-100,-72,-90,-100,-56,-84,-100
-71,-90,-100,-100,-90,-100,-100,-100,-100
-66,-97,-100,-67,-95,-100,-100,-100,-100
-69,-93,-100,-69,-90,-100,-100,-100,-100
-71,-94,-100,-74,-90,-100,-72,-100,-100
-72,-91,-100,-73,-91,-100,-43,-89,-100
-71,-90,-100,-71,-88,-100,-100,-100,-100
-74,-95,-100,-72,-89,-100,-100,-100,-100
-73,-93,-100,-75,-90,-100,-53,-100,-100
-82,-92,-100,-100,-89,-100,-53,-90,-100
-69,-87,-100,-69,-90,-100,-100,-83,-100
-74,-94,-100,-73,-92,-100,-100,-84,-100
-71,-93,-100,-69,-94,-100,-60,-85,-100
-74,-92,-100,-73,-94,-100,-62,-85,-100
-75,-100,-100,-100,-100,-100,-100,-83,-100
-73,-91,-100,-73,-87,-100,-100,-86,-100
-75,-94,-100,-77,-87,-100,-65,-100,-100
-74,-91,-100,-74,-87,-100,-67,-85,-100
-72,-90,-100,-74,-90,-100,-59,-84,-100
-71,-89,-100,-71,-90,-100,-63,-83,-100
-74,-95,-100,-74,-88,-100,-100,-84,-100
-70,-89,-100,-70,-100,-100,-100,-83,-100
-73,-92,-100,-74,-90,-100,-60,-83,-100
-76,-92,-100,-100,-91,-100,-65,-100,-100
-74,-97,-100,-74,-91,-100,-62,-100,-100
-70,-100,-100,-71,-100,-100,-100,-83,-100
-74,-91,-100,-75,-93,-100,-62,-86,-100
-71,-87,-100,-72,-94,-100,-100,-100,-100
-72,-91,-100,-74,-93,-100,-100,-83,-100
-75,-93,-100,-75,-92,-100,-63,-85,-100
-72,-93,-100,-73,-90,-100,-100,-100,-100
-75,-91,-100,-76,-90,-100,-63,-100,-100
-71,-90,-100,-71,-91,-100,-64,-100,-100
-80,-92,-100,-82,-91,-100,-67,-87,-100
-71,-89,-100,-75,-91,-100,-64,-86,-100
-76,-89,-100,-75,-90,-100,-59,-100,-100
-74,-90,-100,-73,-90,-100,-100,-100,-100
-81,-91,-100,-78,-90,-100,-60,-100,-100
-74,-90,-100,-75,-100,-100,-100,-83,-100
-75,-94,-100,-74,-100,-100,-59,-100,-100
-75,-89,-100,-73,-91,-100,-59,-84,-100
-73,-88,-100,-72,-100,-100,-61,-82,-100
-72,-88,-100,-70,-89,-100,-100,-86,-100
-77,-100,-100,-77,-100,-100,-60,-84,-100
-78,-90,-100,-100,-91,-100,-100,-100,-100
-80,-89,-100,-80,-88,-100,-100,-85,-100
-76,-89,-100,-73,-88,-100,-61,-100,-100
-74,-89,-100,-74,-87,-100,-100,-100,-100
-75,-88,-100,-75,-89,-100,-100,-100,-100
-75,-90,-100,-74,-89,-100,-59,-84,-100
-70,-100,-100,-72,-100,-100,-100,-84,-100
-73,-89,-100,-72,-100,-100,-100,-100,-100
-74,-91,-100,-73,-93,-100,-100,-100,-100
-76,-100,-100,-75,-100,-100,-58,-83,-100
-76,-100,-100,-79,-100,-100,-100,-86,-100
-71,-100,-100,-71,-89,-100,-100,-100,-100
-80,-93,-100,-79,-100,-100,-100,-84,-100
-80,-100,-100,-76,-93,-100,-100,-85,-100
-73,-94,-100,-73,-90,-100,-100,-83,-100
-77,-100,-100,-100,-100,-100,-100,-100,-100
-76,-92,-100,-76,-100,-100,-57,-84,-100
-74,-100,-100,-73,-100,-100,-59,-83,-100
-76,-92,-100,-76,-92,-100,-63,-83,-100
-75,-89,-100,-75,-100,-100,-59,-82,-100
-76,-89,-100,-76,-92,-100,-62,-81,-100
-76,-91,-100,-76,-100,-100,-58,-83,-100
-76,-92,-100,-75,-92,-100,-100,-85,-100
-100,-92,-100,-100,-91,-100,-100,-84,-100
-72,-86,-100,-73,-87,-100,-100,-80,-100
-78,-89,-100,-77,-96,-100,-100,-100,-100
-76,-88,-100,-76,-100,-100,-57,-100,-95
-80,-100,-100,-79,-92,-100,-100,-84,-100
-75,-94,-100,-73,-100,-100,-100,-83,-100
-72,-89,-100,-71,-90,-100,-52,-84,-100
-71,-100,-100,-70,-100,-100,-100,-80,-100
-74,-93,-100,-76,-100,-100,-100,-87,-100
-72,-100,-100,-71,-91,-100,-57,-83,-100
-74,-87,-100,-100,-90,-100,-49,-100,-100
-70,-89,-100,-69,-89,-100,-52,-78,-100
-77,-89,-100,-78,-93,-100,-100,-84,-100
-74,-100,-100,-73,-100,-100,-100,-83,-92
-71,-91,-100,-70,-92,-100,-55,-82,-100
-72,-89,-100,-72,-92,-100,-100,-84,-100
-68,-92,-100,-71,-91,-100,-100,-89,-100
-66,-93,-100,-66,-89,-100,-48,-84,-100
-73,-89,-100,-100,-92,-100,-100,-87,-100
-72,-92,-100,-71,-92,-100,-44,-85,-100
-72,-92,-100,-72,-100,-100,-56,-100,-100
-73,-94,-100,-73,-91,-100,-55,-83,-100
-88,-57,-84,-100,-55,-85,-100,-65,-100
-100,-53,-85,-100,-53,-100,-100,-69,-100
-100,-55,-100,-100,-54,-89,-75,-69,-100
-100,-54,-100,-100,-54,-88,-84,-67,-100
-100,-55,-100,-100,-54,-100,-84,-67,-100
-90,-55,-87,-100,-54,-89,-100,-69,-100
-90,-52,-100,-90,-54,-89,-100,-70,-100
-100,-55,-84,-100,-55,-100,-88,-68,-100
-100,-54,-100,-100,-54,-100,-84,-69,-100
-88,-55,-88,-88,-54,-100,-83,-72,-100
-100,-59,-100,-100,-59,-100,-100,-69,-100
-100,-54,-90,-100,-53,-90,-100,-70,-100
-100,-54,-100,-100,-54,-100,-100,-70,-100
-100,-55,-85,-100,-53,-100,-100,-69,-100
-91,-55,-100,-100,-53,-100,-100,-69,-100
-100,-54,-93,-100,-54,-100,-87,-69,-100
-100,-53,-90,-100,-53,-100,-86,-70,-100
-100,-54,-91,-100,-54,-87,-100,-70,-100
-100,-56,-92,-100,-55,-97,-100,-70,-100
-100,-54,-100,-90,-54,-91,-100,-69,-100
-89,-61,-100,-100,-60,-100,-86,-68,-100
-100,-60,-92,-100,-59,-100,-86,-69,-100
-93,-54,-100,-100,-53,-100,-93,-72,-100
-100,-56,-85,-100,-55,-85,-82,-70,-100
-91,-56,-100,-100,-55,-95,-100,-72,-100
-100,-55,-86,-88,-55,-89,-88,-70,-100
-90,-54,-91,-100,-53,-90,-100,-69,-100
-92,-55,-100,-100,-55,-100,-84,-70,-100
-100,-54,-89,-100,-53,-100,-83,-68,-100
-91,-55,-89,-100,-54,-100,-85,-68,-100
-90,-55,-100,-90,-54,-100,-86,-70,-100
-88,-61,-89,-90,-61,-89,-100,-65,-100
-100,-62,-100,-100,-62,-100,-100,-68,-100
-87,-65,-92,-74,-66,-92,-79,-64,-100
-91,-56,-82,-91,-58,-85,-89,-72,-100
-100,-57,-100,-92,-57,-83,-85,-67,-100
-89,-60,-87,-100,-59,-87,-100,-71,-100
-92,-55,-86,-100,-56,-86,-89,-70,-100
-100,-55,-84,-100,-55,-85,-80,-69,-100
-100,-55,-100,-100,-55,-100,-86,-69,-100
-70,-56,-85,-100,-55,-81,-100,-71,-100
-85,-55,-84,-100,-55,-84,-91,-71,-100
-71,-54,-90,-100,-54,-88,-93,-71,-100
-89,-55,-79,-100,-55,-84,-84,-73,-100
-87,-56,-100,-100,-55,-84,-89,-72,-100
-88,-55,-85,-100,-55,-84,-93,-71,-100
-100,-55,-86,-100,-56,-84,-88,-71,-100
-100,-56,-85,-100,-56,-85,-87,-69,-100
-78,-56,-90,-100,-56,-90,-88,-72,-100
-87,-56,-92,-100,-55,-86,-100,-71,-100
-86,-55,-85,-100,-55,-85,-84,-71,-100
-100,-55,-100,-100,-55,-85,-100,-70,-100
-100,-60,-85,-100,-60,-84,-100,-70,-100
-91,-55,-91,-100,-54,-86,-91,-70,-100
-100,-55,-83,-100,-55,-100,-100,-71,-100
-88,-55,-85,-88,-55,-85,-87,-70,-100
-100,-55,-83,-100,-55,-84,-100,-68,-100
-100,-55,-85,-100,-55,-100,-100,-70,-100
-100,-59,-84,-100,-61,-91,-100,-71,-100
-100,-55,-84,-90,-56,-86,-91,-71,-100
-100,-56,-85,-94,-56,-84,-100,-71,-100
-100,-54,-90,-100,-53,-91,-100,-70,-100
-100,-55,-92,-91,-55,-92,-100,-74,-100
-100,-56,-81,-86,-55,-82,-87,-71,-100
-100,-55,-91,-93,-55,-90,-85,-70,-100
-100,-55,-86,-100,-55,-86,-86,-70,-100
-100,-55,-83,-86,-55,-92,-100,-74,-100
-100,-60,-91,-89,-59,-86,-100,-83,-100
-100,-55,-93,-91,-54,-84,-86,-71,-100
-100,-54,-87,-100,-55,-87,-100,-70,-100
-100,-55,-84,-100,-54,-83,-90,-70,-100
-100,-57,-85,-93,-58,-84,-100,-70,-100
-100,-58,-91,-88,-58,-88,-100,-71,-100
-100,-55,-85,-100,-56,-87,-87,-72,-100
-100,-55,-100,-90,-55,-100,-91,-70,-100
-100,-53,-85,-90,-52,-85,-92,-70,-100
-100,-56,-91,-100,-55,-92,-89,-70,-100
-100,-55,-86,-100,-56,-91,-89,-70,-100
-100,-55,-83,-100,-55,-83,-100,-70,-100
-100,-55,-83,-100,-55,-79,-100,-69,-100
-100,-56,-87,-100,-55,-85,-89,-71,-100
-100,-56,-83,-100,-55,-93,-100,-72,-100
-100,-60,-86,-100,-59,-100,-89,-70,-100
-100,-64,-85,-100,-62,-84,-88,-70,-100
-100,-59,-85,-100,-59,-84,-82,-68,-100
-85,-55,-84,-87,-55,-91,-100,-70,-100
-100,-55,-78,-100,-56,-82,-100,-70,-100
-100,-56,-85,-92,-56,-100,-87,-70,-100
-100,-56,-100,-100,-56,-93,-87,-71,-100
-100,-55,-84,-86,-55,-93,-100,-70,-100
-100,-55,-81,-100,-55,-81,-88,-69,-100
-100,-59,-92,-88,-54,-90,-87,-70,-100
-100,-55,-85,-100,-55,-84,-100,-69,-100
-91,-55,-90,-100,-54,-83,-87,-70,-100
-100,-55,-83,-100,-54,-91,-94,-70,-100
-90,-55,-91,-100,-54,-83,-100,-69,-100
-100,-56,-90,-100,-54,-84,-100,-68,-100
-91,-57,-90,-100,-58,-89,-100,-69,-100
-90,-60,-91,-100,-60,-85,-100,-70,-100
-100,-54,-85,-100,-53,-100,-100,-69,-100
-89,-55,-84,-100,-55,-86,-100,-70,-100
-100,-56,-83,-100,-55,-81,-88,-70,-100
-92,-55,-91,-100,-55,-89,-100,-70,-100
-88,-55,-86,-100,-55,-84,-87,-70,-100
-100,-54,-84,-88,-55,-89,-100,-69,-100
-92,-54,-91,-93,-53,-84,-84,-71,-100
-100,-55,-84,-100,-55,-86,-85,-72,-100
-100,-55,-89,-90,-55,-86,-86,-69,-100
-93,-55,-92,-100,-55,-84,-100,-71,-100
-90,-55,-85,-100,-55,-87,-85,-70,-100
-100,-55,-85,-100,-54,-86,-100,-71,-100
-100,-55,-100,-100,-55,-85,-100,-70,-100
-100,-59,-84,-90,-60,-93,-100,-69,-100
-89,-58,-87,-89,-58,-85,-90,-68,-100
-89,-64,-100,-87,-65,-83,-100,-71,-100
-88,-60,-83,-87,-60,-84,-88,-71,-100
-100,-55,-93,-87,-55,-92,-100,-70,-100
-88,-53,-84,-93,-53,-92,-100,-71,-100
-93,-54,-92,-100,-53,-85,-85,-71,-100
-100,-52,-83,-100,-53,-84,-100,-70,-100
-87,-55,-87,-89,-55,-92,-100,-69,-100
-100,-56,-85,-100,-55,-84,-100,-70,-100
-100,-55,-85,-100,-55,-87,-85,-71,-100
